datetime,open,high,low,close,volume
2025-02-07 09:00:00,96508.1,97827.4,96508,97386.7,259358078.95468
2025-02-07 10:00:00,97386.7,97637.2,97067.8,97580,239709321.57624
2025-02-07 11:00:00,97580,97768.8,97233.6,97460.8,141080426.22183
2025-02-07 12:00:00,97460.9,97883.9,97375.6,97421.6,175611373.65267
2025-02-07 13:00:00,97421.7,97543.4,97134,97348.8,134121010.09239
2025-02-07 14:00:00,97348.8,97360,96577.9,96754.4,268328335.80153
2025-02-07 15:00:00,96754.3,97233.7,96647.1,96748.9,235766338.35626
2025-02-07 16:00:00,96748.8,97266.7,96600.6,97032.5,169381803.28484
2025-02-07 17:00:00,97032.4,97397.2,97032.4,97290,146734925.11189
2025-02-07 18:00:00,97290,97497.6,97253.4,97269.5,105980298.25188
2025-02-07 19:00:00,97269.6,97766,97269.5,97750.2,159094203.16189
2025-02-07 20:00:00,97750.2,98050,97516,97971.4,259570508.56304
2025-02-07 21:00:00,97971.3,98854.7,97158,98829.2,987454232.29754
2025-02-07 22:00:00,98829.2,100144,98685.1,99736.2,1279441564.62185
2025-02-07 23:00:00,99736.2,99736.2,97600,98307,1531223621.67272
2025-02-08 00:00:00,98310.2,98599,97633.2,97836.4,691574876.63442
2025-02-08 01:00:00,97836.4,98205.3,97130,97435.9,453526727.43516
2025-02-08 02:00:00,97436,98381.4,97300,97759.2,332466523.13913
2025-02-08 03:00:00,97759.5,97843.6,96880.8,96894.7,288913998.95517
2025-02-08 04:00:00,96894.8,96940,95550.8,95752.5,557247538.6252
2025-02-08 05:00:00,95752.5,96158.7,95675.2,96000.1,267127346.41657
2025-02-08 06:00:00,96000,96114.7,95615.7,96057.7,161676395.79087
2025-02-08 07:00:00,96057.8,96519.1,95852.5,96490.8,195136213.24317
2025-02-08 08:00:00,96490.7,96873,96323.2,96648.9,192262356.58543
2025-02-08 09:00:00,96648.9,96777,96359.4,96524.3,118325902.54345
2025-02-08 10:00:00,96524.3,96829,96406.8,96765.3,136569909.70907
2025-02-08 11:00:00,96765.3,96909.8,96531.9,96710.3,128682654.10061
2025-02-08 12:00:00,96710.3,96710.3,96227,96320.9,162822275.74635
2025-02-08 13:00:00,96320.9,96387.5,96067.7,96230.3,167756959.24788
2025-02-08 14:00:00,96230.2,96239,95878.2,96006,122766039.4006
2025-02-08 15:00:00,96006,96323.5,95777,96210.5,174280426.53752
2025-02-08 16:00:00,96210.5,96309.1,95889,95907.9,117926838.66395
2025-02-08 17:00:00,95908,96213.3,95907.9,96177.8,63314316.96458
2025-02-08 18:00:00,96177.7,96300,95997.3,96036.5,102732340.49087
2025-02-08 19:00:00,96036.5,96140,95850.3,96132.2,101160128.85164
2025-02-08 20:00:00,96132.2,96275,95907,96069.3,140883863.19724
2025-02-08 21:00:00,96069.3,96517.5,96016.9,96236.2,164611617.81871
2025-02-08 22:00:00,96236.3,96373.5,95943.5,96112.2,140781541.76008
2025-02-08 23:00:00,96113,96226.4,95668.2,95856,190378882.72043
2025-02-09 00:00:00,95855.9,96152,95755,96133.5,170014546.23023
2025-02-09 01:00:00,96133.5,96399.9,96133.5,96373.1,170479410.80606
